fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.53512,0.01031,0.00683,0.86547,0.00046,2.9163,0.85805,8.37557,0.63592,1.72537,0.01049,0.71568,0.48433,0.0,0.10324,0.37495,0.0,0.0,0.0,0.45178,0.8623,0.0,0.0
0.55949,0.01031,0.00676,0.82527,0.00055,3.08445,0.92751,8.2489,0.68476,1.06562,0.01573,0.68002,0.3551,0.0,0.09961,0.23886,0.0,0.0,0.0,0.39101,0.75165,0.0,0.0
0.55464,0.01031,0.00677,0.82253,0.00047,2.21877,0.95,5.24807,0.5665,1.6792,0.01705,0.63475,0.27226,0.0,0.0928,0.31444,0.0,0.0,0.0,0.40505,0.83778,0.0,0.0
0.55662,0.01031,0.00633,0.83093,0.0005,2.88097,0.90277,6.19638,0.60916,1.59168,0.01372,0.58928,0.3844,0.0,0.07933,0.30891,0.0,0.0,0.0,0.41833,1.0,0.0,0.0
0.55668,0.01067,0.00697,0.83458,0.00056,3.08412,0.90994,8.55471,0.65598,1.05193,0.01573,0.68002,0.3482,0.0,0.10097,0.23531,0.0,0.0,0.0,0.39698,0.7652,0.0,0.0
0.5545,0.0097,0.00676,0.8054,0.00059,3.08445,0.95,8.07497,0.61839,0.95084,0.01573,0.81571,0.3551,0.0,0.09527,0.2164,0.0,0.0,0.0,0.45303,0.90383,0.0,0.0
0.55988,0.01031,0.00448,0.82439,0.00051,3.06492,0.95,9.31463,0.58177,1.30815,0.01641,0.72925,0.37959,0.0,0.09274,0.21105,0.0,0.0,0.0,0.39101,0.78589,0.0,0.0
0.56616,0.01016,0.00444,0.82208,0.00051,3.08281,0.92462,9.31441,0.57656,1.3122,0.01641,0.72878,0.37829,0.0,0.09274,0.20969,0.0,0.0,0.0,0.38889,0.78589,0.0,0.0
0.55282,0.01086,0.00439,0.84606,0.00046,3.08281,0.92462,9.04304,0.54591,1.28918,0.01633,0.78175,0.3572,0.0,0.09068,0.21601,0.0,0.0,0.0,0.38519,0.73962,0.0,0.0
0.55797,0.01028,0.00676,0.86856,0.00055,2.83037,0.88986,8.49706,0.65037,1.06562,0.01573,0.69651,0.35291,0.0,0.09961,0.23886,0.0,0.0,0.0,0.39101,0.75165,0.0,0.0
0.56285,0.00999,0.00407,0.82377,0.00051,3.08281,0.92462,9.20355,0.57656,1.33657,0.01609,0.7178,0.36767,0.0,0.08718,0.21123,0.0,0.0,0.0,0.38889,0.7682,0.0,0.0
0.56276,0.01016,0.00454,0.80383,0.00051,3.11143,0.92577,8.72203,0.57656,1.3122,0.01694,0.72189,0.39684,0.0,0.09559,0.20969,0.0,0.0,0.0,0.39533,0.81541,0.0,0.0
0.55765,0.01082,0.00444,0.79952,0.00051,3.00726,0.86941,9.09799,0.54482,1.27823,0.01798,0.75205,0.38636,0.0,0.08852,0.21796,0.0,0.0,0.0,0.38875,0.84195,0.0,0.0
0.56562,0.00959,0.00448,0.82208,0.00051,3.01618,0.92455,9.59398,0.61612,1.3122,0.01576,0.74332,0.35769,0.0,0.09274,0.20969,0.0,0.0,0.0,0.37619,0.78589,0.0,0.0
0.55482,0.01016,0.00386,0.81552,0.00051,3.08281,0.86092,10.82473,0.57656,1.3122,0.01638,0.70946,0.37302,0.0,0.0768,0.20969,0.0,0.0,0.0,0.38889,0.78229,0.0,0.0
0.56592,0.01041,0.00455,0.82702,0.00051,3.08281,0.8681,9.31441,0.62656,1.4642,0.01475,0.68159,0.37829,0.0,0.101,0.20493,0.0,0.0,0.0,0.42131,0.81147,0.0,0.0
0.56034,0.01125,0.00439,0.81,0.00052,2.4807,0.90372,9.25678,0.62377,1.55666,0.01475,0.68316,0.38192,0.0,0.10754,0.20493,0.0,0.0,0.0,0.42622,0.81147,0.0,0.0
0.55968,0.00934,0.00471,0.85219,0.00054,3.70495,0.94135,7.93924,0.56646,1.15351,0.0137,0.70642,0.29955,0.0,0.09274,0.20082,0.0,0.0,0.0,0.40132,0.83545,0.0,0.0
0.56247,0.00792,0.0043,0.82488,0.00058,2.91223,0.92462,8.11029,0.57656,1.04071,0.01602,0.7638,0.45074,0.0,0.10374,0.20969,0.0,0.0,0.0,0.40008,0.78589,0.0,0.0
0.56891,0.00959,0.00432,0.81859,0.00057,3.03256,0.91713,8.78483,0.64256,1.31027,0.01541,0.7196,0.34939,0.0,0.09425,0.2063,0.0,0.0,0.0,0.39258,0.79752,0.0,0.0
0.56259,0.01023,0.00432,0.82702,0.00051,3.05103,0.8681,8.91835,0.62656,1.4642,0.01511,0.73221,0.38531,0.0,0.101,0.21301,0.0,0.0,0.0,0.40259,0.75889,0.0,0.0
0.56091,0.01055,0.00444,0.83648,0.00051,3.03047,0.88652,9.04105,0.61031,1.27328,0.01588,0.72431,0.38694,0.0,0.09769,0.21528,0.0,0.0,0.0,0.41888,0.78459,0.0,0.0
0.55403,0.01008,0.00382,0.83105,0.00056,2.26996,0.87945,9.11933,0.62915,1.16356,0.01477,0.68414,0.42555,0.0,0.08667,0.22361,0.0,0.0,0.0,0.40772,0.75803,0.0,0.0
0.56836,0.00959,0.00494,0.82377,0.00062,3.13255,0.91713,8.28174,0.65651,1.31027,0.01541,0.7196,0.41083,0.0,0.06449,0.2063,0.0,0.0,0.0,0.37902,0.878,0.0,0.0
0.5673,0.01081,0.0053,0.80495,0.00062,2.90329,0.91713,8.62931,0.67172,1.40459,0.01594,0.70872,0.41083,0.0,0.06454,0.16341,0.0,0.0,0.0,0.40428,0.68353,0.0,0.0
0.56256,0.00959,0.00494,0.80453,0.00067,2.96263,0.75441,8.80762,0.75753,1.16531,0.01541,0.72021,0.41083,0.0,0.07489,0.19624,0.0,0.0,0.0,0.44121,1.0,0.0,0.0
0.56299,0.00959,0.00437,0.81787,0.00055,3.08324,0.92671,9.45909,0.6543,1.33837,0.01509,0.74515,0.36714,0.0,0.09425,0.2063,0.0,0.0,0.0,0.39922,0.82459,0.0,0.0
0.56993,0.0102,0.00387,0.81859,0.00068,3.46434,0.89747,8.86819,0.80673,1.31027,0.01541,0.74576,0.3294,0.0,0.10281,0.19924,0.0,0.0,0.0,0.39194,0.68242,0.0,0.0
0.56223,0.01086,0.00425,0.81886,0.00066,3.9744,0.88346,9.14152,0.83282,1.36486,0.01548,0.85235,0.33068,0.0,0.10002,0.19318,0.0,0.0,0.0,0.44302,0.6236,0.0,0.0
0.56835,0.00915,0.00547,0.83121,0.00062,3.43903,0.95,8.65735,0.68896,1.25067,0.01558,0.71539,0.35685,0.0,0.05908,0.2256,0.0,0.0,0.0,0.37565,0.9402,0.0,0.0
0.56475,0.01128,0.00387,0.83924,0.00068,3.64312,0.95,8.44993,0.75717,1.31027,0.0163,0.76042,0.3294,0.0,0.10281,0.2055,0.0,0.0,0.0,0.3945,0.67887,0.0,0.0
